timestamp,dt_utc,DrivePress,Pplat,PEEP,PIP,ftotal,PR,Vte,dP_calc,MP_calc
1785715283831,00:01:23,6.0,11.0,5.0,13.0,31,,129,6.0,3.92
1785715291830,00:01:31,1.0,7.0,6.0,15.0,20,,183,1.0,5.20
1785715294829,00:01:34,2.0,7.0,5.0,14.0,20,,185,2.0,4.71
1785715295829,00:01:35,3.0,8.0,5.0,14.0,17,,185,3.0,3.85
1785715298826,00:01:38,8.0,13.0,5.0,14.0,17,,181,8.0,3.02
1785715299829,00:01:39,8.0,13.0,5.0,14.0,15,,181,8.0,2.66
1785715302831,00:01:42,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715303830,00:01:43,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715306829,00:01:46,8.0,13.0,5.0,14.0,15,,186,8.0,2.73
1785715307830,00:01:47,8.0,13.0,5.0,14.0,15,,186,8.0,2.73
1785715311829,00:01:51,8.0,13.0,5.0,14.0,15,,186,8.0,2.73
1785715315829,00:01:55,8.0,13.0,5.0,14.0,15,,186,8.0,2.73
1785715316827,00:01:56,8.0,13.0,5.0,14.0,15,,186,8.0,2.73
1785715319828,00:01:59,8.0,13.0,5.0,14.0,15,,184,8.0,2.70
1785715323833,00:02:03,8.0,13.0,5.0,14.0,15,,185,8.0,2.72
1785715327830,00:02:07,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715328832,00:02:08,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715331837,00:02:11,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715332833,00:02:12,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715335830,00:02:15,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715336830,00:02:16,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715339834,00:02:19,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715343831,00:02:23,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715344835,00:02:24,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715347834,00:02:27,8.0,13.0,5.0,14.0,15,,184,8.0,2.70
1785715351835,00:02:31,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715355832,00:02:35,8.0,13.0,5.0,14.0,15,,184,8.0,2.70
1785715356834,00:02:36,8.0,13.0,5.0,14.0,15,,184,8.0,2.70
1785715359837,00:02:39,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715360832,00:02:40,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715363834,00:02:43,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715364835,00:02:44,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715367835,00:02:47,8.0,13.0,5.0,14.0,15,,183,8.0,2.69
1785715371837,00:02:51,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715372836,00:02:52,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715375834,00:02:55,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715376836,00:02:56,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715379842,00:02:59,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715383835,00:03:03,8.0,13.0,5.0,14.0,15,,181,8.0,2.66
1785715387837,00:03:07,8.0,13.0,5.0,14.0,15,,181,8.0,2.66
1785715388836,00:03:08,8.0,13.0,5.0,14.0,15,,181,8.0,2.66
1785715391838,00:03:11,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715392840,00:03:12,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715395835,00:03:15,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715399845,00:03:19,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715403840,00:03:23,8.0,13.0,5.0,14.0,15,,181,8.0,2.66
1785715404838,00:03:24,8.0,13.0,5.0,14.0,15,,181,8.0,2.66
1785715407838,00:03:27,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715408846,00:03:28,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715411839,00:03:31,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715412838,00:03:32,8.0,13.0,5.0,14.0,15,,182,8.0,2.68
1785715415841,00:03:35,10.0,17.0,7.0,19.0,15,,288,10.0,5.93
1785715416838,00:03:36,10.0,17.0,7.0,19.0,15,,288,10.0,5.93
1785715419842,00:03:39,9.0,15.0,6.0,16.0,15,,248,9.0,4.19
1785715420842,00:03:40,9.0,15.0,6.0,16.0,15,,248,9.0,4.19
1785715423841,00:03:43,8.0,14.0,6.0,16.0,15,,219,8.0,3.86
1785715424842,00:03:44,8.0,14.0,6.0,16.0,15,,219,8.0,3.86
1785715427844,00:03:47,9.0,15.0,6.0,16.0,15,,252,9.0,4.26
1785715428843,00:03:48,9.0,15.0,6.0,16.0,15,,252,9.0,4.26
1785715431841,00:03:51,10.0,15.0,5.0,15.0,15,,212,10.0,3.12
1785715432843,00:03:52,10.0,15.0,5.0,15.0,15,,212,10.0,3.12
1785715435842,00:03:55,10.0,15.0,5.0,15.0,15,,214,10.0,3.15
1785715436840,00:03:56,10.0,15.0,5.0,15.0,15,,214,10.0,3.15
1785715439844,00:03:59,10.0,15.0,5.0,15.0,15,,214,10.0,3.15
1785715440843,00:04:00,10.0,15.0,5.0,15.0,15,,214,10.0,3.15
1785715443844,00:04:03,10.0,15.0,5.0,15.0,15,,214,10.0,3.15
1785715444841,00:04:04,10.0,15.0,5.0,15.0,15,,214,10.0,3.15
1785715447842,00:04:07,10.0,15.0,5.0,15.0,15,,217,10.0,3.19
1785715448844,00:04:08,10.0,15.0,5.0,15.0,15,,217,10.0,3.19
1785715451842,00:04:11,10.0,15.0,5.0,15.0,15,,218,10.0,3.20
1785715452845,00:04:12,10.0,15.0,5.0,15.0,15,,218,10.0,3.20
1785715455844,00:04:15,10.0,15.0,5.0,15.0,15,,218,10.0,3.20
1785715456845,00:04:16,10.0,15.0,5.0,15.0,15,,218,10.0,3.20
1785715459844,00:04:19,10.0,15.0,5.0,15.0,15,,219,10.0,3.22
1785715463841,00:04:23,10.0,15.0,5.0,15.0,15,,219,10.0,3.22
1785715464847,00:04:24,10.0,15.0,5.0,15.0,15,,219,10.0,3.22
1785715467844,00:04:27,10.0,15.0,5.0,15.0,15,,217,10.0,3.19
1785715468842,00:04:28,10.0,15.0,5.0,15.0,15,,217,10.0,3.19
1785715471844,00:04:31,10.0,15.0,5.0,15.0,15,,218,10.0,3.20
1785715475847,00:04:35,10.0,15.0,5.0,15.0,15,,217,10.0,3.19
1785715479846,00:04:39,10.0,15.0,5.0,15.0,15,,220,10.0,3.23
1785715483847,00:04:43,10.0,15.0,5.0,15.0,15,,219,10.0,3.22
1785715484847,00:04:44,10.0,15.0,5.0,15.0,15,,219,10.0,3.22
1785715487844,00:04:47,10.0,15.0,5.0,15.0,15,,220,10.0,3.23
1785715488849,00:04:48,10.0,15.0,5.0,15.0,15,,220,10.0,3.23
1785715491845,00:04:51,9.0,14.0,5.0,15.0,15,,219,9.0,3.38
1785715495847,00:04:55,10.0,15.0,5.0,15.0,15,,219,10.0,3.22
1785715496844,00:04:56,10.0,15.0,5.0,15.0,15,,219,10.0,3.22
1785715499848,00:04:59,10.0,15.0,5.0,15.0,15,,221,10.0,3.25
1785715503846,00:05:03,10.0,15.0,5.0,15.0,15,,221,10.0,3.25
1785715507849,00:05:07,10.0,15.0,5.0,15.0,15,,220,10.0,3.23
1785715511852,00:05:11,10.0,15.0,5.0,15.0,15,,220,10.0,3.23
1785715512849,00:05:12,10.0,15.0,5.0,15.0,15,,220,10.0,3.23
1785715515850,00:05:15,10.0,15.0,5.0,15.0,15,,221,10.0,3.25
1785715516849,00:05:16,10.0,15.0,5.0,15.0,15,,221,10.0,3.25
1785715519849,00:05:19,10.0,15.0,5.0,15.0,15,,224,10.0,3.29
1785715520851,00:05:20,10.0,15.0,5.0,15.0,15,,224,10.0,3.29
1785715523853,00:05:23,9.0,14.0,5.0,15.0,15,,223,9.0,3.44
1785715527850,00:05:27,10.0,15.0,5.0,15.0,15,,222,10.0,3.26
1785715531852,00:05:31,10.0,15.0,5.0,15.0,15,,223,10.0,3.28
1785715532852,00:05:32,10.0,15.0,5.0,15.0,15,,223,10.0,3.28
1785715535853,00:05:35,10.0,15.0,5.0,15.0,15,,225,10.0,3.31
1785715536854,00:05:36,10.0,15.0,5.0,15.0,15,,225,10.0,3.31
1785715539852,00:05:39,9.0,14.0,5.0,15.0,15,,227,9.0,3.50
1785715543851,00:05:43,10.0,15.0,5.0,15.0,15,,227,10.0,3.34
1785715544852,00:05:44,10.0,15.0,5.0,15.0,15,,227,10.0,3.34
1785715547855,00:05:47,9.0,14.0,5.0,15.0,15,,230,9.0,3.55
1785715548854,00:05:48,9.0,14.0,5.0,15.0,15,,230,9.0,3.55
1785715551854,00:05:51,9.0,14.0,5.0,15.0,15,,251,9.0,3.87
1785715555857,00:05:55,9.0,14.0,5.0,15.0,15,,249,9.0,3.84
1785715556854,00:05:56,9.0,14.0,5.0,15.0,15,,249,9.0,3.84
1785715559856,00:05:59,9.0,14.0,5.0,15.0,15,,252,9.0,3.89
1785715563851,00:06:03,9.0,14.0,5.0,15.0,15,,251,9.0,3.87
1785715567855,00:06:07,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715568855,00:06:08,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715571857,00:06:11,9.0,14.0,5.0,15.0,15,,252,9.0,3.89
1785715575856,00:06:15,9.0,14.0,5.0,15.0,15,,252,9.0,3.89
1785715579859,00:06:19,9.0,14.0,5.0,15.0,15,,251,9.0,3.87
1785715583861,00:06:23,9.0,14.0,5.0,15.0,15,,252,9.0,3.89
1785715587859,00:06:27,9.0,14.0,5.0,14.0,15,,252,9.0,3.52
1785715588856,00:06:28,9.0,14.0,5.0,14.0,15,,252,9.0,3.52
1785715591858,00:06:31,9.0,14.0,5.0,15.0,15,,251,9.0,3.87
1785715595859,00:06:35,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715596856,00:06:36,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715599859,00:06:39,9.0,14.0,5.0,14.0,15,,249,9.0,3.48
1785715600858,00:06:40,9.0,14.0,5.0,14.0,15,,249,9.0,3.48
1785715603856,00:06:43,9.0,14.0,5.0,15.0,15,,251,9.0,3.87
1785715607858,00:06:47,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715611858,00:06:51,9.0,14.0,5.0,14.0,15,,251,9.0,3.51
1785715615860,00:06:55,9.0,14.0,5.0,14.0,15,,250,9.0,3.49
1785715619860,00:06:59,9.0,14.0,5.0,15.0,15,,251,9.0,3.87
1785715623862,00:07:03,9.0,14.0,5.0,15.0,15,,249,9.0,3.84
1785715627861,00:07:07,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715631873,00:07:11,9.0,14.0,5.0,15.0,15,,248,9.0,3.83
1785715635861,00:07:15,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715639862,00:07:19,9.0,14.0,5.0,15.0,15,,249,9.0,3.84
1785715643864,00:07:23,9.0,14.0,5.0,15.0,15,,246,9.0,3.80
1785715647863,00:07:27,9.0,14.0,5.0,15.0,15,,248,9.0,3.83
1785715651863,00:07:31,9.0,14.0,5.0,14.0,15,,248,9.0,3.46
1785715655863,00:07:35,9.0,14.0,5.0,15.0,15,,252,9.0,3.89
1785715659863,00:07:39,9.0,14.0,5.0,15.0,15,,249,9.0,3.84
1785715663865,00:07:43,9.0,14.0,5.0,15.0,15,,249,9.0,3.84
1785715667866,00:07:47,9.0,14.0,5.0,15.0,15,,248,9.0,3.83
1785715671866,00:07:51,9.0,14.0,5.0,15.0,15,,247,9.0,3.81
1785715675866,00:07:55,9.0,14.0,5.0,15.0,15,,247,9.0,3.81
1785715676864,00:07:56,9.0,14.0,5.0,15.0,15,,247,9.0,3.81
1785715679866,00:07:59,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715683864,00:08:03,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715687865,00:08:07,9.0,14.0,5.0,15.0,15,,250,9.0,3.86
1785715691866,00:08:11,9.0,14.0,5.0,15.0,15,,247,9.0,3.81
1785715692866,00:08:12,9.0,14.0,5.0,15.0,15,,247,9.0,3.81
1785715695869,00:08:15,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715699869,00:08:19,9.0,14.0,5.0,15.0,15,,244,9.0,3.77
1785715703869,00:08:23,9.0,14.0,5.0,15.0,15,,247,9.0,3.81
1785715707870,00:08:27,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715711868,00:08:31,9.0,14.0,5.0,15.0,15,,244,9.0,3.77
1785715715872,00:08:35,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715719871,00:08:39,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715723870,00:08:43,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715727876,00:08:47,9.0,14.0,5.0,15.0,15,,248,9.0,3.83
1785715731873,00:08:51,9.0,14.0,5.0,15.0,15,,244,9.0,3.77
1785715735870,00:08:55,9.0,14.0,5.0,15.0,15,,247,9.0,3.81
1785715739872,00:08:59,9.0,14.0,5.0,15.0,15,,244,9.0,3.77
1785715743872,00:09:03,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715747870,00:09:07,9.0,14.0,5.0,15.0,15,,246,9.0,3.80
1785715751873,00:09:11,9.0,14.0,5.0,15.0,15,,248,9.0,3.83
1785715755875,00:09:15,9.0,14.0,5.0,15.0,15,,243,9.0,3.75
1785715759871,00:09:19,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715763872,00:09:23,9.0,14.0,5.0,15.0,15,,247,9.0,3.81
1785715767877,00:09:27,9.0,14.0,5.0,15.0,15,,248,9.0,3.83
1785715771872,00:09:31,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715775875,00:09:35,9.0,14.0,5.0,15.0,15,,244,9.0,3.77
1785715779874,00:09:39,9.0,14.0,5.0,15.0,15,,243,9.0,3.75
1785715783876,00:09:43,9.0,14.0,5.0,15.0,15,,243,9.0,3.75
1785715784877,00:09:44,9.0,14.0,5.0,15.0,15,,243,9.0,3.75
1785715787875,00:09:47,9.0,14.0,5.0,15.0,15,,244,9.0,3.77
1785715791878,00:09:51,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715795877,00:09:55,9.0,14.0,5.0,15.0,15,,244,9.0,3.77
1785715799876,00:09:59,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715803879,00:10:03,9.0,14.0,5.0,15.0,15,,242,9.0,3.74
1785715807880,00:10:07,9.0,14.0,5.0,15.0,15,,243,9.0,3.75
1785715811880,00:10:11,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715815881,00:10:15,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715819884,00:10:19,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
1785715823880,00:10:23,9.0,14.0,5.0,15.0,15,,246,9.0,3.80
1785715827881,00:10:27,9.0,14.0,5.0,15.0,15,,243,9.0,3.75
1785715831879,00:10:31,9.0,14.0,5.0,15.0,15,,245,9.0,3.78
